pattern,membership_queries,equivalence_queries
(b|((a|b)*)|(b*)),3,1
(b|((b|a)*)|(a*)),3,1
(b|((b|a)*)|(b*)),3,1
(b|((b|b)*)|(a*)),33,3
(b|((b|b)*)|(b*)),5,1
(b|(a*)|((a|a)*)),33,3
(b|(a*)|((a|b)*)),3,1
(b|(a*)|((b|a)*)),3,1
(b|(a*)|((b|b)*)),33,3
(b|(a*)|(a*)|(a*)),33,3
(b|(a*)|(a*)|(b*)),33,3
(b|(a*)|(b*)|(a*)),33,3
(b|(a*)|(b*)|(b*)),33,3
(b|(b*)|((a|a)*)),33,3
(b|(b*)|((a|b)*)),3,1
(b|(b*)|((b|a)*)),3,1
(b|(b*)|((b|b)*)),5,1
(b|(b*)|(a*)|(a*)),33,3
(b|(b*)|(a*)|(b*)),33,3
(b|(b*)|(b*)|(a*)),33,3
(b|(b*)|(b*)|(b*)),5,1
(((a|a)a)|(a*)),5,1
(((a|a)a)|(b*)),60,3
(((a|a)b)|(a*)),60,3
(((a|a)b)|(b*)),45,3
(((a|b)a)|(a*)),51,3
(((a|b)a)|(b*)),60,3
(((a|b)b)|(a*)),68,3
(((a|b)b)|(b*)),45,3
(((b|a)a)|(a*)),51,3
(((b|a)a)|(b*)),60,3
(((b|a)b)|(a*)),68,3
(((b|a)b)|(b*)),45,3
(((b|b)a)|(a*)),51,3
(((b|b)a)|(b*)),60,3
(((b|b)b)|(a*)),60,3
(((b|b)b)|(b*)),5,1
((a(a|a))|(a*)),5,1
((a(a|a))|(b*)),68,4
((a(a|b))|(a*)),60,3
((a(a|b))|(b*)),45,3
((a(b|a))|(a*)),60,3
((a(b|a))|(b*)),45,3
((a(b|b))|(a*)),60,3
((a(b|b))|(b*)),45,3
((aa)|(a(a*))),18,2
((aa)|(a(b*))),45,3
((aa)|(b(a*))),39,3
((aa)|(b(b*))),33,2
((aa)|((a*)a)),18,2
((aa)|((a*)b)),68,3
((aa)|((b*)a)),45,3
((aa)|((b*)b)),33,2
((aa)|((a|a)*)),5,1
((aa)|((a|b)*)),3,1
((aa)|((b|a)*)),3,1
((aa)|((b|b)*)),60,3
((aa)|(a*)|(a*)),5,1
((aa)|(a*)|(b*)),33,3
((aa)|(b*)|(a*)),33,3
((aa)|(b*)|(b*)),60,3
((ab)|(a(a*))),45,3
((ab)|(a(b*))),18,2
((ab)|(b(a*))),60,3
((ab)|(b(b*))),33,2
((ab)|((a*)a)),45,3
((ab)|((a*)b)),18,2
((ab)|((b*)a)),60,3
((ab)|((b*)b)),33,2
((ab)|((a|a)*)),60,3
((ab)|((a|b)*)),3,1
((ab)|((b|a)*)),3,1
((ab)|((b|b)*)),45,3
((ab)|(a*)|(a*)),60,3
((ab)|(a*)|(b*)),60,3
((ab)|(b*)|(a*)),60,3
((ab)|(b*)|(b*)),45,3
((a(a*))|(aa)),18,2
((a(a*))|(ab)),45,3
((a(a*))|(ba)),39,2
((a(a*))|(bb)),39,3
((a(b*))|(aa)),45,3
((a(b*))|(ab)),18,2
((a(b*))|(ba)),60,3
((a(b*))|(bb)),33,2
((b(a|a))|(a*)),51,3
((b(a|a))|(b*)),60,3
((b(a|b))|(a*)),39,2
((b(a|b))|(b*)),60,3
((b(b|a))|(a*)),39,2
((b(b|a))|(b*)),60,3
((b(b|b))|(a*)),60,3
((b(b|b))|(b*)),5,1
((ba)|(a(a*))),39,2
((ba)|(a(b*))),44,2
((ba)|(b(a*))),18,2
((ba)|(b(b*))),45,3
((ba)|((a*)a)),39,2
((ba)|((a*)b)),76,4
((ba)|((b*)a)),18,2
((ba)|((b*)b)),45,3
((ba)|((a|a)*)),51,3
((ba)|((a|b)*)),3,1
((ba)|((b|a)*)),3,1
((ba)|((b|b)*)),60,3
((ba)|(a*)|(a*)),51,3
((ba)|(a*)|(b*)),60,3
((ba)|(b*)|(a*)),60,3
((ba)|(b*)|(b*)),60,3
((bb)|(a(a*))),39,3
((bb)|(a(b*))),33,2
((bb)|(b(a*))),45,3
((bb)|(b(b*))),18,2
((bb)|((a*)a)),39,3
((bb)|((a*)b)),33,2
((bb)|((b*)a)),68,3
((bb)|((b*)b)),18,2
((bb)|((a|a)*)),60,3
((bb)|((a|b)*)),3,1
((bb)|((b|a)*)),3,1
((bb)|((b|b)*)),5,1
((bb)|(a*)|(a*)),60,3
((bb)|(a*)|(b*)),33,3
((bb)|(b*)|(a*)),33,3
((bb)|(b*)|(b*)),5,1
((b(a*))|(aa)),39,3
((b(a*))|(ab)),76,4
((b(a*))|(ba)),18,2
((b(a*))|(bb)),45,3
((b(b*))|(aa)),33,2
((b(b*))|(ab)),33,2
((b(b*))|(ba)),45,3
((b(b*))|(bb)),18,2
(((a*)a)|(aa)),18,2
(((a*)a)|(ab)),45,3
(((a*)a)|(ba)),39,2
(((a*)a)|(bb)),39,3
(((a*)b)|(aa)),68,3
(((a*)b)|(ab)),18,2
(((a*)b)|(ba)),44,2
(((a*)b)|(bb)),33,2
(((b*)a)|(aa)),45,3
(((b*)a)|(ab)),60,3
(((b*)a)|(ba)),18,2
(((b*)a)|(bb)),68,3
(((b*)b)|(aa)),33,2
(((b*)b)|(ab)),33,2
(((b*)b)|(ba)),45,3
(((b*)b)|(bb)),18,2
((a(aa))|(a*)),5,1
((a(aa))|(b*)),115,4
((a(ab))|(a*)),95,3
((a(ab))|(b*)),92,4
((a(ba))|(a*)),76,3
((a(ba))|(b*)),115,4
((a(bb))|(a*)),95,3
((a(bb))|(b*)),92,4
((b(aa))|(a*)),92,4
((b(aa))|(b*)),95,3
((b(ab))|(a*)),85,3
((b(ab))|(b*)),76,3
((b(ba))|(a*)),68,3
((b(ba))|(b*)),95,3
((b(bb))|(a*)),115,4
((b(bb))|(b*)),5,1
(((a|a)*)|((aa)*)),5,1
(((a|a)*)|((ab)*)),68,3
(((a|a)*)|((ba)*)),51,3
(((a|a)*)|((bb)*)),60,3
(((a|b)*)|((aa)*)),3,1
(((a|b)*)|((ab)*)),3,1
(((a|b)*)|((ba)*)),3,1
(((a|b)*)|((bb)*)),3,1
(((a|(a|(a|a)))*)|(a*)),5,1
(((a|(a|(a|a)))*)|(b*)),33,3
(((a|(a|(a|b)))*)|(a*)),3,1
(((a|(a|(a|b)))*)|(b*)),3,1
(((a|(a|(b|a)))*)|(a*)),3,1
(((a|(a|(b|a)))*)|(b*)),3,1
(((a|(a|(b|b)))*)|(a*)),3,1
(((a|(a|(b|b)))*)|(b*)),3,1
(((a|(b|(a|a)))*)|(a*)),3,1
(((a|(b|(a|a)))*)|(b*)),3,1
(((a|(b|(a|b)))*)|(a*)),3,1
(((a|(b|(a|b)))*)|(b*)),3,1
(((a|(b|(b|a)))*)|(a*)),3,1
(((a|(b|(b|a)))*)|(b*)),3,1
(((a|(b|(b|b)))*)|(a*)),3,1
(((a|(b|(b|b)))*)|(b*)),3,1
(((b|a)*)|((aa)*)),3,1
(((b|a)*)|((ab)*)),3,1
(((b|a)*)|((ba)*)),3,1
(((b|a)*)|((bb)*)),3,1
(((b|b)*)|((aa)*)),60,3
(((b|b)*)|((ab)*)),45,3
(((b|b)*)|((ba)*)),68,3
(((b|b)*)|((bb)*)),5,1
(((b|(a|(a|a)))*)|(a*)),3,1
(((b|(a|(a|a)))*)|(b*)),3,1
(((b|(a|(a|b)))*)|(a*)),3,1
(((b|(a|(a|b)))*)|(b*)),3,1
(((b|(a|(b|a)))*)|(a*)),3,1
(((b|(a|(b|a)))*)|(b*)),3,1
(((b|(a|(b|b)))*)|(a*)),3,1
(((b|(a|(b|b)))*)|(b*)),3,1
(((b|(b|(a|a)))*)|(a*)),3,1
(((b|(b|(a|a)))*)|(b*)),3,1
(((b|(b|(a|b)))*)|(a*)),3,1
(((b|(b|(a|b)))*)|(b*)),3,1
(((b|(b|(b|a)))*)|(a*)),3,1
(((b|(b|(b|a)))*)|(b*)),3,1
(((b|(b|(b|b)))*)|(a*)),33,3
(((b|(b|(b|b)))*)|(b*)),5,1
((a*)|((a|(a|(a|a)))*)),5,1
((a*)|((a|(a|(a|b)))*)),3,1
((a*)|((a|(a|(b|a)))*)),3,1
((a*)|((a|(a|(b|b)))*)),3,1
((a*)|((a|(b|(a|a)))*)),3,1
((a*)|((a|(b|(a|b)))*)),3,1
((a*)|((a|(b|(b|a)))*)),3,1
((a*)|((a|(b|(b|b)))*)),3,1
((a*)|((b|(a|(a|a)))*)),3,1
((a*)|((b|(a|(a|b)))*)),3,1
((a*)|((b|(a|(b|a)))*)),3,1
((a*)|((b|(a|(b|b)))*)),3,1
((a*)|((b|(b|(a|a)))*)),3,1
((a*)|((b|(b|(a|b)))*)),3,1
((a*)|((b|(b|(b|a)))*)),3,1
((a*)|((b|(b|(b|b)))*)),33,3
((a*)|(((a|a)a)*)),5,1
((a*)|(((a|a)b)*)),68,3
((a*)|(((a|b)a)*)),51,3
((a*)|(((a|b)b)*)),68,3
((a*)|(((b|a)a)*)),51,3
((a*)|(((b|a)b)*)),68,3
((a*)|(((b|b)a)*)),51,3
((a*)|(((b|b)b)*)),60,3
((a*)|((a(a|a))*)),5,1
((a*)|((a(a|b))*)),33,2
((a*)|((a(b|a))*)),33,2
((a*)|((a(b|b))*)),68,3
((a*)|((b(a|a))*)),51,3
((a*)|((b(a|b))*)),39,2
((a*)|((b(b|a))*)),39,2
((a*)|((b(b|b))*)),60,3
((a*)|((a(aa))*)),5,1
((a*)|((a(ab))*)),115,3
((a*)|((a(ba))*)),84,3
((a*)|((a(bb))*)),105,3
((a*)|((b(aa))*)),92,4
((a*)|((b(ab))*)),85,3
((a*)|((b(ba))*)),68,3
((a*)|((b(bb))*)),115,4
((a*)|(a*)|((aa)*)),5,1
((a*)|(a*)|((ab)*)),68,3
((a*)|(a*)|((ba)*)),51,3
((a*)|(a*)|((bb)*)),60,3
((a*)|(b*)|((aa)*)),33,3
((a*)|(b*)|((ab)*)),68,3
((a*)|(b*)|((ba)*)),68,3
((a*)|(b*)|((bb)*)),33,3
((a*)|((aa)*)|(a*)),5,1
((a*)|((aa)*)|(b*)),33,3
((a*)|((ab)*)|(a*)),68,3
((a*)|((ab)*)|(b*)),68,3
((a*)|((ba)*)|(a*)),51,3
((a*)|((ba)*)|(b*)),68,3
((a*)|((bb)*)|(a*)),60,3
((a*)|((bb)*)|(b*)),33,3
((b*)|((a|(a|(a|a)))*)),33,3
((b*)|((a|(a|(a|b)))*)),3,1
((b*)|((a|(a|(b|a)))*)),3,1
((b*)|((a|(a|(b|b)))*)),3,1
((b*)|((a|(b|(a|a)))*)),3,1
((b*)|((a|(b|(a|b)))*)),3,1
((b*)|((a|(b|(b|a)))*)),3,1
((b*)|((a|(b|(b|b)))*)),3,1
((b*)|((b|(a|(a|a)))*)),3,1
((b*)|((b|(a|(a|b)))*)),3,1
((b*)|((b|(a|(b|a)))*)),3,1
((b*)|((b|(a|(b|b)))*)),3,1
((b*)|((b|(b|(a|a)))*)),3,1
((b*)|((b|(b|(a|b)))*)),3,1
((b*)|((b|(b|(b|a)))*)),3,1
((b*)|((b|(b|(b|b)))*)),5,1
((b*)|(((a|a)a)*)),60,3
((b*)|(((a|a)b)*)),45,3
((b*)|(((a|b)a)*)),68,3
((b*)|(((a|b)b)*)),51,3
((b*)|(((b|a)a)*)),68,3
((b*)|(((b|a)b)*)),51,3
((b*)|(((b|b)a)*)),68,3
((b*)|(((b|b)b)*)),5,1
((b*)|((a(a|a))*)),60,3
((b*)|((a(a|b))*)),45,3
((b*)|((a(b|a))*)),45,3
((b*)|((a(b|b))*)),45,3
((b*)|((b(a|a))*)),68,3
((b*)|((b(a|b))*)),33,2
((b*)|((b(b|a))*)),33,2
((b*)|((b(b|b))*)),5,1
((b*)|((a(aa))*)),115,4
((b*)|((a(ab))*)),92,4
((b*)|((a(ba))*)),115,4
((b*)|((a(bb))*)),92,4
((b*)|((b(aa))*)),105,3
((b*)|((b(ab))*)),84,3
((b*)|((b(ba))*)),115,3
((b*)|((b(bb))*)),5,1
((b*)|(a*)|((aa)*)),33,3
((b*)|(a*)|((ab)*)),68,3
((b*)|(a*)|((ba)*)),68,3
((b*)|(a*)|((bb)*)),33,3
((b*)|(b*)|((aa)*)),60,3
((b*)|(b*)|((ab)*)),45,3
((b*)|(b*)|((ba)*)),68,3
((b*)|(b*)|((bb)*)),5,1
((b*)|((aa)*)|(a*)),33,3
((b*)|((aa)*)|(b*)),76,4
((b*)|((ab)*)|(a*)),68,3
((b*)|((ab)*)|(b*)),45,3
((b*)|((ba)*)|(a*)),68,3
((b*)|((ba)*)|(b*)),68,3
((b*)|((bb)*)|(a*)),33,3
((b*)|((bb)*)|(b*)),5,1
((((a|a)a)*)|(a*)),5,1
((((a|a)a)*)|(b*)),60,3
((((a|a)b)*)|(a*)),68,3
((((a|a)b)*)|(b*)),45,3
((((a|b)a)*)|(a*)),51,3
((((a|b)a)*)|(b*)),68,3
((((a|b)b)*)|(a*)),68,3
((((a|b)b)*)|(b*)),51,3
((((b|a)a)*)|(a*)),51,3
((((b|a)a)*)|(b*)),68,3
((((b|a)b)*)|(a*)),68,3
((((b|a)b)*)|(b*)),51,3
((((b|b)a)*)|(a*)),51,3
((((b|b)a)*)|(b*)),68,3
((((b|b)b)*)|(a*)),60,3
((((b|b)b)*)|(b*)),5,1
(((a(a|a))*)|(a*)),5,1
(((a(a|a))*)|(b*)),60,3
(((a(a|b))*)|(a*)),33,2
(((a(a|b))*)|(b*)),45,3
(((a(b|a))*)|(a*)),33,2
(((a(b|a))*)|(b*)),45,3
(((a(b|b))*)|(a*)),68,3
(((a(b|b))*)|(b*)),45,3
(((aa)*)|((a|a)*)),5,1
(((aa)*)|((a|b)*)),3,1
(((aa)*)|((b|a)*)),3,1
(((aa)*)|((b|b)*)),60,3
(((aa)*)|(a*)|(a*)),5,1
(((aa)*)|(a*)|(b*)),33,3
(((aa)*)|(b*)|(a*)),33,3
(((aa)*)|(b*)|(b*)),60,3
(((ab)*)|((a|a)*)),68,3
(((ab)*)|((a|b)*)),3,1
(((ab)*)|((b|a)*)),3,1
(((ab)*)|((b|b)*)),45,3
(((ab)*)|(a*)|(a*)),68,3
(((ab)*)|(a*)|(b*)),68,3
(((ab)*)|(b*)|(a*)),68,3
(((ab)*)|(b*)|(b*)),45,3
(((b(a|a))*)|(a*)),51,3
(((b(a|a))*)|(b*)),68,3
(((b(a|b))*)|(a*)),39,2
(((b(a|b))*)|(b*)),33,2
(((b(b|a))*)|(a*)),39,2
(((b(b|a))*)|(b*)),33,2
(((b(b|b))*)|(a*)),60,3
(((b(b|b))*)|(b*)),5,1
(((ba)*)|((a|a)*)),51,3
(((ba)*)|((a|b)*)),3,1
(((ba)*)|((b|a)*)),3,1
(((ba)*)|((b|b)*)),68,3
(((ba)*)|(a*)|(a*)),51,3
(((ba)*)|(a*)|(b*)),68,3
(((ba)*)|(b*)|(a*)),68,3
(((ba)*)|(b*)|(b*)),68,3
(((bb)*)|((a|a)*)),60,3
(((bb)*)|((a|b)*)),3,1
(((bb)*)|((b|a)*)),3,1
(((bb)*)|((b|b)*)),5,1
(((bb)*)|(a*)|(a*)),60,3
(((bb)*)|(a*)|(b*)),33,3
(((bb)*)|(b*)|(a*)),33,3
(((bb)*)|(b*)|(b*)),5,1
(((a(aa))*)|(a*)),5,1
(((a(aa))*)|(b*)),115,4
(((a(ab))*)|(a*)),115,3
(((a(ab))*)|(b*)),92,4
(((a(ba))*)|(a*)),84,3
(((a(ba))*)|(b*)),115,4
(((a(bb))*)|(a*)),105,3
(((a(bb))*)|(b*)),92,4
(((b(aa))*)|(a*)),92,4
(((b(aa))*)|(b*)),105,3
(((b(ab))*)|(a*)),85,3
(((b(ab))*)|(b*)),84,3
(((b(ba))*)|(a*)),68,3
(((b(ba))*)|(b*)),115,3
(((b(bb))*)|(a*)),115,4
(((b(bb))*)|(b*)),5,1
((a|a)(a|(a|a))),39,3
((a|a)(a|(a|b))),39,3
((a|a)(a|(b|a))),39,3
((a|a)(a|(b|b))),39,3
((a|a)(b|(a|a))),39,3
((a|a)(b|(a|b))),39,3
((a|a)(b|(b|a))),39,3
((a|a)(b|(b|b))),39,3
((a|a)((a*)|(a*))),18,2
((a|a)((a*)|(b*))),45,3
((a|a)((b*)|(a*))),45,3
((a|a)((b*)|(b*))),18,2
((a|a)((aa)*)),18,2
((a|a)((ab)*)),39,3
((a|a)((ba)*)),18,2
((a|a)((bb)*)),39,3
((a|b)(a|(a|a))),45,3
((a|b)(a|(a|b))),51,3
((a|b)(a|(b|a))),51,3
((a|b)(a|(b|b))),51,3
((a|b)(b|(a|a))),51,3
((a|b)(b|(a|b))),51,3
((a|b)(b|(b|a))),39,3
((a|b)(b|(b|b))),39,3
((a|b)((a*)|(a*))),18,2
((a|b)((a*)|(b*))),45,3
((a|b)((b*)|(a*))),39,2
((a|b)((b*)|(b*))),18,2
((a|b)((aa)*)),45,3
((a|b)((ab)*)),45,3
((a|b)((ba)*)),27,2
((a|b)((bb)*)),39,3
((a|(a|a))(a|a)),39,3
((a|(a|a))(a|b)),39,3
((a|(a|a))(b|a)),39,3
((a|(a|a))(b|b)),39,3
((a|(a|b))(a|a)),45,3
((a|(a|b))(a|b)),51,3
((a|(a|b))(b|a)),39,3
((a|(a|b))(b|b)),39,3
((a|(a|(a|a)))(a*)),18,2
((a|(a|(a|a)))(b*)),18,2
((a|(a|(a|b)))(a*)),18,2
((a|(a|(a|b)))(b*)),18,2
((a|(a|(b|a)))(a*)),18,2
((a|(a|(b|a)))(b*)),18,2
((a|(a|(b|b)))(a*)),18,2
((a|(a|(b|b)))(b*)),18,2
((a|(a|(a*)))a),18,2
((a|(a|(a*)))b),18,2
((a|(a|(b*)))a),45,3
((a|(a|(b*)))b),33,2
((a|(b|a))(a|a)),45,3
((a|(b|a))(a|b)),45,3
((a|(b|a))(b|a)),39,3
((a|(b|a))(b|b)),39,3
((a|(b|b))(a|a)),45,3
((a|(b|b))(a|b)),51,3
((a|(b|b))(b|a)),39,3
((a|(b|b))(b|b)),39,3
((a|(b|(a|a)))(a*)),18,2
((a|(b|(a|a)))(b*)),18,2
((a|(b|(a|b)))(a*)),18,2
((a|(b|(a|b)))(b*)),18,2
((a|(b|(b|a)))(a*)),18,2
((a|(b|(b|a)))(b*)),18,2
((a|(b|(b|b)))(a*)),18,2
((a|(b|(b|b)))(b*)),18,2
((a|(b|(a*)))a),39,2
((a|(b|(a*)))b),33,2
((a|(b|(b*)))a),45,3
((a|(b|(b*)))b),33,2
((a|(aa))a),45,3
((a|(aa))b),45,3
((a|(ab))a),76,4
((a|(ab))b),45,3
((a|(ba))a),60,3
((a|(ba))b),84,4
((a|(bb))a),76,4
((a|(bb))b),76,4
((b|a)(a|(a|a))),45,3
((b|a)(a|(a|b))),45,3
((b|a)(a|(b|a))),39,3
((b|a)(a|(b|b))),45,3
((b|a)(b|(a|a))),51,3
((b|a)(b|(a|b))),51,3
((b|a)(b|(b|a))),51,3
((b|a)(b|(b|b))),39,3
((b|a)((a*)|(a*))),18,2
((b|a)((a*)|(b*))),39,2
((b|a)((b*)|(a*))),45,3
((b|a)((b*)|(b*))),18,2
((b|a)((aa)*)),45,3
((b|a)((ab)*)),45,3
((b|a)((ba)*)),27,2
((b|a)((bb)*)),39,3
((b|b)(a|(a|a))),39,3
((b|b)(a|(a|b))),39,3
((b|b)(a|(b|a))),39,3
((b|b)(a|(b|b))),39,3
((b|b)(b|(a|a))),39,3
((b|b)(b|(a|b))),39,3
((b|b)(b|(b|a))),39,3
((b|b)(b|(b|b))),39,3
((b|b)((a*)|(a*))),18,2
((b|b)((a*)|(b*))),45,3
((b|b)((b*)|(a*))),45,3
((b|b)((b*)|(b*))),18,2
((b|b)((aa)*)),39,3
((b|b)((ab)*)),18,2
((b|b)((ba)*)),39,3
((b|b)((bb)*)),18,2
((b|(a|a))(a|a)),45,3
((b|(a|a))(a|b)),51,3
((b|(a|a))(b|a)),51,3
((b|(a|a))(b|b)),39,3
((b|(a|b))(a|a)),45,3
((b|(a|b))(a|b)),51,3
((b|(a|b))(b|a)),51,3
((b|(a|b))(b|b)),39,3
((b|(a|(a|a)))(a*)),18,2
((b|(a|(a|a)))(b*)),18,2
((b|(a|(a|b)))(a*)),18,2
((b|(a|(a|b)))(b*)),18,2
((b|(a|(b|a)))(a*)),18,2
((b|(a|(b|a)))(b*)),18,2
((b|(a|(b|b)))(a*)),18,2
((b|(a|(b|b)))(b*)),18,2
((b|(a|(a*)))a),39,2
((b|(a|(a*)))b),33,2
((b|(a|(b*)))a),45,3
((b|(a|(b*)))b),33,2
((b|(b|a))(a|a)),45,3
((b|(b|a))(a|b)),51,3
((b|(b|a))(b|a)),39,3
((b|(b|a))(b|b)),39,3
((b|(b|b))(a|a)),39,3
((b|(b|b))(a|b)),39,3
((b|(b|b))(b|a)),39,3
((b|(b|b))(b|b)),39,3
((b|(b|(a|a)))(a*)),18,2
((b|(b|(a|a)))(b*)),18,2
((b|(b|(a|b)))(a*)),18,2
((b|(b|(a|b)))(b*)),18,2
((b|(b|(b|a)))(a*)),18,2
((b|(b|(b|a)))(b*)),18,2
((b|(b|(b|b)))(a*)),18,2
((b|(b|(b|b)))(b*)),18,2
((b|(b|(a*)))a),39,2
((b|(b|(a*)))b),33,2
((b|(b|(b*)))a),18,2
((b|(b|(b*)))b),18,2
((b|(aa))a),76,4
((b|(aa))b),76,4
((b|(ab))a),60,3
((b|(ab))b),60,3
((b|(ba))a),45,3
((b|(ba))b),76,4
((b|(bb))a),45,3
((b|(bb))b),45,3
((((a|a)*)|(a*))a),18,2
((((a|a)*)|(a*))b),18,2
((((a|a)*)|(b*))a),33,2
((((a|a)*)|(b*))b),33,2
((((a|b)*)|(a*))a),5,1
((((a|b)*)|(a*))b),5,1
((((a|b)*)|(b*))a),5,1
((((a|b)*)|(b*))b),5,1
((((b|a)*)|(a*))a),5,1
((((b|a)*)|(a*))b),5,1
((((b|a)*)|(b*))a),5,1
((((b|a)*)|(b*))b),5,1
((((b|b)*)|(a*))a),33,2
((((b|b)*)|(a*))b),33,2
((((b|b)*)|(b*))a),18,2
((((b|b)*)|(b*))b),18,2
(((a*)|((a|a)*))a),18,2
(((a*)|((a|a)*))b),18,2
(((a*)|((a|b)*))a),5,1
(((a*)|((a|b)*))b),5,1
(((a*)|((b|a)*))a),5,1
(((a*)|((b|a)*))b),5,1
(((a*)|((b|b)*))a),33,2
(((a*)|((b|b)*))b),33,2
(((a*)|(a*))(a|a)),18,2
(((a*)|(a*))(a|b)),18,2
(((a*)|(a*))(b|a)),18,2
(((a*)|(a*))(b|b)),18,2
(((a*)|(b*))(a|a)),33,2
(((a*)|(b*))(a|b)),45,3
(((a*)|(b*))(b|a)),45,3
(((a*)|(b*))(b|b)),33,2
(((a*)|(a*)|(a*))a),18,2
(((a*)|(a*)|(a*))b),18,2
(((a*)|(a*)|(b*))a),33,2
(((a*)|(a*)|(b*))b),33,2
(((a*)|(b*)|(a*))a),33,2
(((a*)|(b*)|(a*))b),33,2
(((a*)|(b*)|(b*))a),33,2
(((a*)|(b*)|(b*))b),33,2
(((b*)|((a|a)*))a),33,2
(((b*)|((a|a)*))b),33,2
(((b*)|((a|b)*))a),5,1
(((b*)|((a|b)*))b),5,1
(((b*)|((b|a)*))a),5,1
(((b*)|((b|a)*))b),5,1
(((b*)|((b|b)*))a),18,2
(((b*)|((b|b)*))b),18,2
(((b*)|(a*))(a|a)),33,2
(((b*)|(a*))(a|b)),45,3
(((b*)|(a*))(b|a)),45,3
(((b*)|(a*))(b|b)),33,2
(((b*)|(b*))(a|a)),18,2
(((b*)|(b*))(a|b)),22,2
(((b*)|(b*))(b|a)),22,2
(((b*)|(b*))(b|b)),18,2
(((b*)|(a*)|(a*))a),33,2
(((b*)|(a*)|(a*))b),33,2
(((b*)|(a*)|(b*))a),33,2
(((b*)|(a*)|(b*))b),33,2
(((b*)|(b*)|(a*))a),33,2
(((b*)|(b*)|(a*))b),33,2
(((b*)|(b*)|(b*))a),18,2
(((b*)|(b*)|(b*))b),18,2
(a(a|(a|(a*)))),18,2
(a(a|(a|(b*)))),45,3
(a(a|(b|(a*)))),45,3
(a(a|(b|(b*)))),45,3
(a(a|(aa))),45,3
(a(a|(ab))),68,4
(a(a|(ba))),76,4
(a(a|(bb))),60,4
(a(b|(a|(a*)))),45,3
(a(b|(a|(b*)))),45,3
(a(b|(b|(a*)))),45,3
(a(b|(b|(b*)))),18,2
(a(b|(aa))),68,4
(a(b|(ab))),45,3
(a(b|(ba))),68,4
(a(b|(bb))),45,3
(a(((a|a)*)|(a*))),18,2
(a(((a|a)*)|(b*))),45,3
(a(((a|b)*)|(a*))),18,2
(a(((a|b)*)|(b*))),18,2
(a(((b|a)*)|(a*))),18,2
(a(((b|a)*)|(b*))),18,2
(a(((b|b)*)|(a*))),45,3
(a(((b|b)*)|(b*))),18,2
(a((a*)|((a|a)*))),18,2
(a((a*)|((a|b)*))),18,2
(a((a*)|((b|a)*))),18,2
(a((a*)|((b|b)*))),45,3
(a((a*)|(a*)|(a*))),18,2
(a((a*)|(a*)|(b*))),45,3
(a((a*)|(b*)|(a*))),45,3
(a((a*)|(b*)|(b*))),45,3
(a((b*)|((a|a)*))),45,3
(a((b*)|((a|b)*))),18,2
(a((b*)|((b|a)*))),18,2
(a((b*)|((b|b)*))),18,2
(a((b*)|(a*)|(a*))),45,3
(a((b*)|(a*)|(b*))),45,3
(a((b*)|(b*)|(a*))),45,3
(a((b*)|(b*)|(b*))),18,2
(a((a|(a|(a|a)))*)),18,2
(a((a|(a|(a|b)))*)),18,2
(a((a|(a|(b|a)))*)),18,2
(a((a|(a|(b|b)))*)),18,2
(a((a|(b|(a|a)))*)),18,2
(a((a|(b|(a|b)))*)),18,2
(a((a|(b|(b|a)))*)),18,2
(a((a|(b|(b|b)))*)),18,2
(a((b|(a|(a|a)))*)),18,2
(a((b|(a|(a|b)))*)),18,2
(a((b|(a|(b|a)))*)),18,2
(a((b|(a|(b|b)))*)),18,2
(a((b|(b|(a|a)))*)),18,2
(a((b|(b|(a|b)))*)),18,2
(a((b|(b|(b|a)))*)),18,2
(a((b|(b|(b|b)))*)),18,2
(a(((a|a)a)*)),18,2
(a(((a|a)b)*)),39,3
(a(((a|b)a)*)),18,2
(a(((a|b)b)*)),39,3
(a(((b|a)a)*)),18,2
(a(((b|a)b)*)),39,3
(a(((b|b)a)*)),18,2
(a(((b|b)b)*)),39,3
(a((a(a|a))*)),18,2
(a((a(a|b))*)),39,3
(a((a(b|a))*)),39,3
(a((a(b|b))*)),39,3
(a((b(a|a))*)),18,2
(a((b(a|b))*)),39,3
(a((b(b|a))*)),39,3
(a((b(b|b))*)),39,3
(a((a(aa))*)),45,3
(a((a(ab))*)),60,3
(a((a(ba))*)),45,3
(a((a(bb))*)),60,3
(a((b(aa))*)),45,3
(a((b(ab))*)),60,3
(a((b(ba))*)),45,3
(a((b(bb))*)),60,3
(b(a|(a|(a*)))),18,2
(b(a|(a|(b*)))),45,3
(b(a|(b|(a*)))),45,3
(b(a|(b|(b*)))),45,3
(b(a|(aa))),45,3
(b(a|(ab))),68,4
(b(a|(ba))),45,3
(b(a|(bb))),68,4
(b(b|(a|(a*)))),45,3
(b(b|(a|(b*)))),45,3
(b(b|(b|(a*)))),45,3
(b(b|(b|(b*)))),18,2
(b(b|(aa))),68,4
(b(b|(ab))),76,4
(b(b|(ba))),68,4
(b(b|(bb))),45,3
(b(((a|a)*)|(a*))),18,2
(b(((a|a)*)|(b*))),45,3
(b(((a|b)*)|(a*))),18,2
(b(((a|b)*)|(b*))),18,2
(b(((b|a)*)|(a*))),18,2
(b(((b|a)*)|(b*))),18,2
(b(((b|b)*)|(a*))),45,3
(b(((b|b)*)|(b*))),18,2
(b((a*)|((a|a)*))),18,2
